algo,metric,value
ML-DSA-87,verify-wall-ci95hi-ns,1226978.7
ML-DSA-87,verify-cyc-median,66091.0
ML-DSA-87,verify-cyc-mean,66232.1
ML-DSA-87,verify-persec,817.0
ML-DSA-87,size-key-bits,20736
ML-DSA-87,size-pubkey-bytes,2592
ML-DSA-87,size-privkey-bytes,4896
ML-DSA-87,size-signature-bytes,4627
rsa-7680,key-size,7680
rsa-7680,keygen-iters,5
rsa-7680,keygen-wall-median-ns,78254858286.0
rsa-7680,keygen-wall-mean-ns,65533467038.8
rsa-7680,keygen-wall-std-ns,41588656271.3
rsa-7680,keygen-wall-p95-ns,113270896988.0
rsa-7680,keygen-wall-p99-ns,113270896988.0
rsa-7680,keygen-wall-ci95lo-ns,29079402532.8
rsa-7680,keygen-wall-ci95hi-ns,101987531544.8
rsa-7680,keygen-cyc-median,4225762338.0
rsa-7680,keygen-cyc-mean,3538807206.2
rsa-7680,keygen-persec,0.0
rsa-7680,pss-sign-iters,100
rsa-7680,pss-sign-wall-median-ns,227947537.0
rsa-7680,pss-sign-wall-mean-ns,228449355.6
rsa-7680,pss-sign-wall-std-ns,2905760.7
rsa-7680,pss-sign-wall-p95-ns,228005500.0
rsa-7680,pss-sign-wall-p99-ns,244888036.0
rsa-7680,pss-sign-wall-ci95lo-ns,227879826.5
rsa-7680,pss-sign-wall-ci95hi-ns,229018884.7
rsa-7680,pss-sign-cyc-median,12309159.0
rsa-7680,pss-sign-cyc-mean,12336255.3
rsa-7680,pss-sign-persec,4.4
rsa-7680,pss-verify-iters,100
rsa-7680,pss-verify-wall-median-ns,1745944.0
rsa-7680,pss-verify-wall-mean-ns,1750113.0
rsa-7680,pss-verify-wall-std-ns,5104.0
rsa-7680,pss-verify-wall-p95-ns,1755926.0
rsa-7680,pss-verify-wall-p99-ns,1760537.0
rsa-7680,pss-verify-wall-ci95lo-ns,1749112.6
rsa-7680,pss-verify-wall-ci95hi-ns,1751113.4
rsa-7680,pss-verify-cyc-median,94277.0
rsa-7680,pss-verify-cyc-mean,94501.1
rsa-7680,pss-verify-persec,572.8
rsa-7680,oaep-encrypt-iters,100
rsa-7680,oaep-encrypt-wall-median-ns,1763223.0
rsa-7680,oaep-encrypt-wall-mean-ns,1766656.8
rsa-7680,oaep-encrypt-wall-std-ns,4565.2
rsa-7680,oaep-encrypt-wall-p95-ns,1771926.0
rsa-7680,oaep-encrypt-wall-p99-ns,1776833.0
rsa-7680,oaep-encrypt-wall-ci95lo-ns,1765762.0
rsa-7680,oaep-encrypt-wall-ci95hi-ns,1767551.6
