algo,metric,value
ML-KEM-768,decap-wall-mean-ns,23015.1
ML-KEM-768,decap-wall-std-ns,516.4
ML-KEM-768,decap-wall-p95-ns,23941.0
ML-KEM-768,decap-wall-p99-ns,24706.0
ML-KEM-768,decap-wall-ci95lo-ns,22983.1
ML-KEM-768,decap-wall-ci95hi-ns,23047.1
ML-KEM-768,decap-cyc-median,61556.0
ML-KEM-768,decap-cyc-mean,61808.8
ML-KEM-768,decap-persec,43628.1
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-shared-secret-bytes,32
ML-KEM-1024,keygen-iters,1000
ML-KEM-1024,keygen-wall-median-ns,39977.0
ML-KEM-1024,keygen-wall-mean-ns,40945.2
ML-KEM-1024,keygen-wall-std-ns,6674.9
ML-KEM-1024,keygen-wall-p95-ns,42215.0
ML-KEM-1024,keygen-wall-p99-ns,72618.0
ML-KEM-1024,keygen-wall-ci95lo-ns,40531.5
ML-KEM-1024,keygen-wall-ci95hi-ns,41358.9
ML-KEM-1024,keygen-cyc-median,107402.0
ML-KEM-1024,keygen-cyc-mean,109994.7
ML-KEM-1024,keygen-persec,25014.4
ML-KEM-1024,encap-iters,1000
ML-KEM-1024,encap-wall-median-ns,19415.0
ML-KEM-1024,encap-wall-mean-ns,19447.5
ML-KEM-1024,encap-wall-std-ns,227.2
ML-KEM-1024,encap-wall-p95-ns,19666.0
ML-KEM-1024,encap-wall-p99-ns,20662.0
ML-KEM-1024,encap-wall-ci95lo-ns,19433.4
ML-KEM-1024,encap-wall-ci95hi-ns,19461.6
ML-KEM-1024,encap-cyc-median,52126.0
ML-KEM-1024,encap-cyc-mean,52219.4
ML-KEM-1024,encap-persec,51506.6
ML-KEM-1024,decap-iters,1000
ML-KEM-1024,decap-wall-median-ns,30303.0
ML-KEM-1024,decap-wall-mean-ns,30337.7
ML-KEM-1024,decap-wall-std-ns,272.2
ML-KEM-1024,decap-wall-p95-ns,30572.0
ML-KEM-1024,decap-wall-p99-ns,31611.0
ML-KEM-1024,decap-wall-ci95lo-ns,30320.8
ML-KEM-1024,decap-wall-ci95hi-ns,30354.6
ML-KEM-1024,decap-cyc-median,81400.0
ML-KEM-1024,decap-cyc-mean,81491.5
ML-KEM-1024,decap-persec,33000.0
ML-KEM-1024,size-key-bits,1024
ML-KEM-1024,size-pubkey-bytes,1568
ML-KEM-1024,size-privkey-bytes,3168
ML-KEM-1024,size-ciphertext-bytes,1568
ML-KEM-1024,size-shared-secret-bytes,32
ML-DSA-44,keygen-iters,1000
ML-DSA-44,keygen-wall-median-ns,69829.0
ML-DSA-44,keygen-wall-mean-ns,69987.2
ML-DSA-44,keygen-wall-std-ns,963.4
ML-DSA-44,keygen-wall-p95-ns,71745.0
ML-DSA-44,keygen-wall-p99-ns,73717.0
ML-DSA-44,keygen-wall-ci95lo-ns,69927.5
ML-DSA-44,keygen-wall-ci95hi-ns,70047.0
ML-DSA-44,keygen-cyc-median,187632.0
ML-DSA-44,keygen-cyc-mean,188061.4
ML-DSA-44,keygen-persec,14320.7
ML-DSA-44,sign-iters,1000
ML-DSA-44,sign-wall-median-ns,284641.0
ML-DSA-44,sign-wall-mean-ns,381474.0
ML-DSA-44,sign-wall-std-ns,266747.7
ML-DSA-44,sign-wall-p95-ns,898009.0
ML-DSA-44,sign-wall-p99-ns,1311559.0
ML-DSA-44,sign-wall-ci95lo-ns,364940.8
ML-DSA-44,sign-wall-ci95hi-ns,398007.2
ML-DSA-44,sign-cyc-median,765054.0
ML-DSA-44,sign-cyc-mean,1025341.7
ML-DSA-44,sign-persec,3513.2
ML-DSA-44,verify-iters,1000
ML-DSA-44,verify-wall-median-ns,75896.0
ML-DSA-44,verify-wall-mean-ns,76046.5
ML-DSA-44,verify-wall-std-ns,684.2
ML-DSA-44,verify-wall-p95-ns,77298.0
ML-DSA-44,verify-wall-p99-ns,79255.0
ML-DSA-44,verify-wall-ci95lo-ns,76004.1
ML-DSA-44,verify-wall-ci95hi-ns,76088.9
ML-DSA-44,verify-cyc-median,203948.0
ML-DSA-44,verify-cyc-mean,204350.6
ML-DSA-44,verify-persec,13175.9
ML-DSA-44,size-key-bits,10496
ML-DSA-44,size-pubkey-bytes,1312
ML-DSA-44,size-privkey-bytes,2560
ML-DSA-44,size-signature-bytes,2420
ML-DSA-65,keygen-iters,1000
ML-DSA-65,keygen-wall-median-ns,125781.0
ML-DSA-65,keygen-wall-mean-ns,126141.8
ML-DSA-65,keygen-wall-std-ns,1677.7
ML-DSA-65,keygen-wall-p95-ns,129125.0
ML-DSA-65,keygen-wall-p99-ns,132088.0
ML-DSA-65,keygen-wall-ci95lo-ns,126037.8
ML-DSA-65,keygen-wall-ci95hi-ns,126245.8
ML-DSA-65,keygen-cyc-median,338034.0
ML-DSA-65,keygen-cyc-mean,339003.2
ML-DSA-65,keygen-persec,7950.3
ML-DSA-65,sign-iters,1000
ML-DSA-65,sign-wall-median-ns,427555.0
ML-DSA-65,sign-wall-mean-ns,589835.9
ML-DSA-65,sign-wall-std-ns,460298.4
ML-DSA-65,sign-wall-p95-ns,1535146.0
ML-DSA-65,sign-wall-p99-ns,2380934.0
ML-DSA-65,sign-wall-ci95lo-ns,561306.3
ML-DSA-65,sign-wall-ci95hi-ns,618365.5
ML-DSA-65,sign-cyc-median,1149204.0
ML-DSA-65,sign-cyc-mean,1585408.1
ML-DSA-65,sign-persec,2338.9
ML-DSA-65,verify-iters,1000
ML-DSA-65,verify-wall-median-ns,117064.0
ML-DSA-65,verify-wall-mean-ns,117181.3
ML-DSA-65,verify-wall-std-ns,1430.3
ML-DSA-65,verify-wall-p95-ns,118380.0
ML-DSA-65,verify-wall-p99-ns,119027.0
ML-DSA-65,verify-wall-ci95lo-ns,117092.7
ML-DSA-65,verify-wall-ci95hi-ns,117269.9
ML-DSA-65,verify-cyc-median,314594.0
ML-DSA-65,verify-cyc-mean,314917.0
ML-DSA-65,verify-persec,8542.3
ML-DSA-65,size-key-bits,15616
ML-DSA-65,size-pubkey-bytes,1952
ML-DSA-65,size-privkey-bytes,4032
ML-DSA-65,size-signature-bytes,3309
ML-DSA-87,keygen-iters,1000
ML-DSA-87,keygen-wall-median-ns,174484.0
ML-DSA-87,keygen-wall-mean-ns,174679.9
ML-DSA-87,keygen-wall-std-ns,1847.2
ML-DSA-87,keygen-wall-p95-ns,176843.0
ML-DSA-87,keygen-wall-p99-ns,181866.0
ML-DSA-87,keygen-wall-ci95lo-ns,174565.4
ML-DSA-87,keygen-wall-ci95hi-ns,174794.4
ML-DSA-87,keygen-cyc-median,468946.0
ML-DSA-87,keygen-cyc-mean,469471.5
ML-DSA-87,keygen-persec,5731.2
ML-DSA-87,sign-iters,1000
ML-DSA-87,sign-wall-median-ns,585686.0
ML-DSA-87,sign-wall-mean-ns,685543.9
ML-DSA-87,sign-wall-std-ns,427871.9
ML-DSA-87,sign-wall-p95-ns,1530404.0
ML-DSA-87,sign-wall-p99-ns,2199038.0
ML-DSA-87,sign-wall-ci95lo-ns,659024.1
ML-DSA-87,sign-wall-ci95hi-ns,712063.6
ML-DSA-87,sign-cyc-median,1574256.0
ML-DSA-87,sign-cyc-mean,1842667.5
ML-DSA-87,sign-persec,1707.4
ML-DSA-87,verify-iters,1000
ML-DSA-87,verify-wall-median-ns,184245.0
ML-DSA-87,verify-wall-mean-ns,184327.3
ML-DSA-87,verify-wall-std-ns,1947.2
ML-DSA-87,verify-wall-p95-ns,186094.0
ML-DSA-87,verify-wall-p99-ns,187078.0
ML-DSA-87,verify-wall-ci95lo-ns,184206.6
ML-DSA-87,verify-wall-ci95hi-ns,184447.9
ML-DSA-87,verify-cyc-median,495186.0
ML-DSA-87,verify-cyc-mean,495406.2
ML-DSA-87,verify-persec,5427.6
ML-DSA-87,size-key-bits,20736
ML-DSA-87,size-pubkey-bytes,2592
ML-DSA-87,size-privkey-bytes,4896
ML-DSA-87,size-signature-bytes,4627
rsa-7680,key-size,7680
rsa-7680,keygen-iters,100
rsa-7680,keygen-wall-median-ns,4292646127.0
rsa-7680,keygen-wall-mean-ns,5102621350.9
rsa-7680,keygen-wall-std-ns,3829579245.7
rsa-7680,keygen-wall-p95-ns,11881964402.0
rsa-7680,keygen-wall-p99-ns,17338136780.0
rsa-7680,keygen-wall-ci95lo-ns,4352023818.7
rsa-7680,keygen-wall-ci95hi-ns,5853218883.0
rsa-7680,keygen-cyc-median,11538632054.0
rsa-7680,keygen-cyc-mean,13715845240.5
rsa-7680,keygen-persec,0.2
rsa-7680,pss-sign-iters,100
rsa-7680,pss-sign-wall-median-ns,28103992.0
rsa-7680,pss-sign-wall-mean-ns,28158639.6
rsa-7680,pss-sign-wall-std-ns,368429.0
rsa-7680,pss-sign-wall-p95-ns,28259564.0
rsa-7680,pss-sign-wall-p99-ns,30227133.0
rsa-7680,pss-sign-wall-ci95lo-ns,28086427.5
rsa-7680,pss-sign-wall-ci95hi-ns,28230851.6
rsa-7680,pss-sign-cyc-median,75543468.0
rsa-7680,pss-sign-cyc-mean,75690348.9
rsa-7680,pss-sign-persec,35.6
rsa-7680,pss-verify-iters,100
rsa-7680,pss-verify-wall-median-ns,170041.0
rsa-7680,pss-verify-wall-mean-ns,170198.3
rsa-7680,pss-verify-wall-std-ns,793.0
rsa-7680,pss-verify-wall-p95-ns,171521.0
rsa-7680,pss-verify-wall-p99-ns,172061.0
rsa-7680,pss-verify-wall-ci95lo-ns,170042.9
rsa-7680,pss-verify-wall-ci95hi-ns,170353.7
rsa-7680,pss-verify-cyc-median,457018.0
rsa-7680,pss-verify-cyc-mean,457436.6
rsa-7680,pss-verify-persec,5880.9
rsa-7680,oaep-encrypt-iters,100
rsa-7680,oaep-encrypt-wall-median-ns,170709.0
rsa-7680,oaep-encrypt-wall-mean-ns,170866.7
rsa-7680,oaep-encrypt-wall-std-ns,833.8
rsa-7680,oaep-encrypt-wall-p95-ns,172167.0
rsa-7680,oaep-encrypt-wall-p99-ns,173180.0
rsa-7680,oaep-encrypt-wall-ci95lo-ns,170703.3
rsa-7680,oaep-encrypt-wall-ci95hi-ns,171030.1
rsa-7680,oaep-encrypt-cyc-median,458802.0
rsa-7680,oaep-encrypt-cyc-mean,459231.7
rsa-7680,oaep-encrypt-persec,5857.9
rsa-7680,oaep-decrypt-iters,100
rsa-7680,oaep-decrypt-wall-median-ns,28093786.0
rsa-7680,oaep-decrypt-wall-mean-ns,28148585.8
rsa-7680,oaep-decrypt-wall-std-ns,363201.2
rsa-7680,oaep-decrypt-wall-p95-ns,28204694.0
rsa-7680,oaep-decrypt-wall-p99-ns,30118949.0
rsa-7680,oaep-decrypt-wall-ci95lo-ns,28077398.4
rsa-7680,oaep-decrypt-wall-ci95hi-ns,28219773.3
rsa-7680,oaep-decrypt-cyc-median,75516030.0
rsa-7680,oaep-decrypt-cyc-mean,75663332.3
rsa-7680,oaep-decrypt-persec,35.6
rsa-7680,size-key-bits,7680
rsa-7680,size-signature-bytes,960
rsa-15360,key-size,15360
rsa-15360,keygen-iters,100
rsa-15360,keygen-wall-median-ns,45051114103.0
rsa-15360,keygen-wall-mean-ns,49389919100.3
rsa-15360,keygen-wall-std-ns,33832614613.7
rsa-15360,keygen-wall-p95-ns,108819835496.0
rsa-15360,keygen-wall-p99-ns,127161894159.0
rsa-15360,keygen-wall-ci95lo-ns,42758726636.0
rsa-15360,keygen-wall-ci95hi-ns,56021111564.5
rsa-15360,keygen-cyc-median,121097389620.0
rsa-15360,keygen-cyc-mean,132760097363.7
rsa-15360,keygen-persec,0.0
rsa-15360,pss-sign-iters,100
rsa-15360,pss-sign-wall-median-ns,151962672.0
rsa-15360,pss-sign-wall-mean-ns,152090828.0
rsa-15360,pss-sign-wall-std-ns,1360246.9
rsa-15360,pss-sign-wall-p95-ns,152114281.0
rsa-15360,pss-sign-wall-p99-ns,159531881.0
rsa-15360,pss-sign-wall-ci95lo-ns,151824219.6
rsa-15360,pss-sign-wall-ci95hi-ns,152357436.4
