algo,metric,n,median,mean,min,max,cv_pct
ecdh-P-521,derive-cyc-median,5,2938518,2938895.2,2937150,2940824,0.05
ecdh-P-521,derive-iters,5,1000,1000,1000,1000,0.00
ecdh-P-521,derive-persec,5,914.7,914.6,914,915.2,0.05
ecdh-P-521,derive-wall-ci95hi-ns,5,1094650.4,1094410.84,1093521.3,1094899.2,0.05
ecdh-P-521,derive-wall-ci95lo-ns,5,1093706.2,1093759.94,1092967.9,1094392.4,0.05
ecdh-P-521,derive-wall-mean-ns,5,1094222.3,1094085.4,1093244.6,1094645.8,0.05
ecdh-P-521,derive-wall-median-ns,5,1093223,1093360.4,1092710,1094077,0.05
ecdh-P-521,derive-wall-p95-ns,5,1099545,1099437.4,1097631,1101413,0.13
ecdh-P-521,derive-wall-p99-ns,5,1112463,1110494.4,1105046,1113186,0.32
ecdh-P-521,derive-wall-std-ns,5,4464,5250.76,3924.2,8326.8,34.64
ecdh-P-521,keygen-cyc-mean,5,2976034.2,2975315.92,2968889.8,2983437.8,0.21
ecdh-P-521,keygen-cyc-median,5,2972500,2971146.4,2967444,2974362,0.11
ecdh-P-521,keygen-iters,5,1000,1000,1000,1000,0.00
ecdh-P-521,keygen-persec,5,904.3,904.7,903.7,905.8,0.11
ecdh-P-521,keygen-wall-ci95hi-ns,5,1107429.5,1107447.9,1104728.7,1110641.5,0.23
ecdh-P-521,keygen-wall-ci95lo-ns,5,1106925.8,1106375.58,1104315.5,1109224.7,0.19
ecdh-P-521,keygen-wall-mean-ns,5,1107177.6,1106911.74,1104522.1,1109933.1,0.21
ecdh-P-521,keygen-wall-median-ns,5,1105860,1105359,1103983,1106556,0.11
ecdh-P-521,keygen-wall-p95-ns,5,1114080,1114757,1108826,1127662,0.69
ecdh-P-521,keygen-wall-p99-ns,5,1123728,1131955,1115442,1174356,2.12
ecdh-P-521,keygen-wall-std-ns,5,5894.5,8650.38,3332.6,18531.8,73.63
ecdh-P-521,size-key-bits,5,521,521,521,521,0.00
ecdh-P-521,size-pubkey-bytes,5,133,133,133,133,0.00
ecdsa-P-256,keygen-cyc-mean,5,39521,37518.52,32420.9,40154.3,9.20
ecdsa-P-256,keygen-cyc-median,5,32058,32225.2,31884,32652,1.21
ecdsa-P-256,keygen-iters,5,1000,1000,1000,1000,0.00
ecdsa-P-256,keygen-persec,5,83661,83240.34,82142.3,84118.4,1.20
ecdsa-P-256,keygen-wall-ci95hi-ns,5,15183.4,14371.04,12139.4,15523.2,10.27
ecdsa-P-256,keygen-wall-ci95lo-ns,5,14305.7,13619.9,12040.3,14532.8,8.16
ecdsa-P-256,keygen-wall-mean-ns,5,14744.5,13995.46,12089.8,14981.9,9.23
ecdsa-P-256,keygen-wall-median-ns,5,11953,12014.8,11888,12174,1.21
ecdsa-P-256,keygen-wall-p95-ns,5,25132,22603.6,12599,25197,24.75
ecdsa-P-256,keygen-wall-p99-ns,5,26414,24064.2,13492,28151,24.99
ecdsa-P-256,keygen-wall-std-ns,5,7079.9,6059.1,798.8,9322.9,52.72
ecdsa-P-256,sign-cyc-mean,5,45261.1,45325.3,44880.6,45786,0.86
ecdsa-P-256,sign-cyc-median,5,44962,45148.4,44804,45548,0.81
ecdsa-P-256,sign-iters,5,1000,1000,1000,1000,0.00
ecdsa-P-256,sign-persec,5,59690.8,59452.58,58931,59901.8,0.80
ecdsa-P-256,sign-wall-ci95hi-ns,5,16895.4,16924.02,16735.9,17154.9,1.01
ecdsa-P-256,sign-wall-ci95lo-ns,5,16832.3,16849.66,16709.7,16986.3,0.72
ecdsa-P-256,sign-wall-mean-ns,5,16863.8,16886.82,16722.8,17056.9,0.85
ecdsa-P-256,sign-wall-median-ns,5,16753,16821,16694,16969,0.80
ecdsa-P-256,sign-wall-p95-ns,5,17096,17120.6,16824,17606,1.72
ecdsa-P-256,sign-wall-p99-ns,5,18340,18344.4,17990,18684,1.49
ecdsa-P-256,sign-wall-std-ns,5,365.9,599.88,211.5,1581.8,93.19
ecdsa-P-256,size-key-bits,5,256,256,256,256,0.00
ecdsa-P-256,size-pubkey-bytes,5,65,65,65,65,0.00
ecdsa-P-256,size-signature-max-bytes,5,72,72,72,72,0.00
ecdsa-P-256,verify-cyc-mean,5,141602,141518.56,141038.2,141774.8,0.20
ecdsa-P-256,verify-cyc-median,5,141240,141255.6,140856,141562,0.19
ecdsa-P-256,verify-iters,5,1000,1000,1000,1000,0.00
ecdsa-P-256,verify-persec,5,19022.6,19020.58,18978.9,19074.5,0.19
ecdsa-P-256,verify-wall-ci95hi-ns,5,52728.3,52709.36,52517,52804.6,0.21
