algo,op,iter,wall_ns,cycles
rsa-7680,oaep-decrypt,51,27965754,75171880
rsa-7680,oaep-decrypt,52,28174298,75732448
rsa-7680,oaep-decrypt,53,28034791,75357446
rsa-7680,oaep-decrypt,54,28196987,75793436
rsa-7680,oaep-decrypt,55,28112421,75566120
rsa-7680,oaep-decrypt,56,28117209,75578996
rsa-7680,oaep-decrypt,57,28033307,75353464
rsa-7680,oaep-decrypt,58,28114299,75571172
rsa-7680,oaep-decrypt,59,28097622,75526332
rsa-7680,oaep-decrypt,60,28091588,75510122
rsa-7680,oaep-decrypt,61,27925490,75063658
rsa-7680,oaep-decrypt,62,28121369,75590176
rsa-7680,oaep-decrypt,63,28218839,75852172
rsa-7680,oaep-decrypt,64,28028529,75340624
rsa-7680,oaep-decrypt,65,27952816,75137104
rsa-7680,oaep-decrypt,66,28080988,75481628
rsa-7680,oaep-decrypt,67,28102681,75539940
rsa-7680,oaep-decrypt,68,28205511,75816352
rsa-7680,oaep-decrypt,69,28366812,76249900
rsa-7680,oaep-decrypt,70,27915386,75036488
rsa-7680,oaep-decrypt,71,28077629,75472604
rsa-7680,oaep-decrypt,72,30019960,80693586
rsa-7680,oaep-decrypt,73,28085618,75494066
rsa-7680,oaep-decrypt,74,27945809,75118258
rsa-7680,oaep-decrypt,75,27957780,75150448
rsa-7680,oaep-decrypt,76,27972375,75189680
rsa-7680,oaep-decrypt,77,28062441,75431770
rsa-7680,oaep-decrypt,78,27953241,75138240
rsa-7680,oaep-decrypt,79,28073974,75462774
rsa-7680,oaep-decrypt,80,28024068,75328622
rsa-7680,oaep-decrypt,81,27848301,74856162
rsa-7680,oaep-decrypt,82,28018305,75313144
rsa-7680,oaep-decrypt,83,27985514,75225000
rsa-7680,oaep-decrypt,84,27989664,75236156
rsa-7680,oaep-decrypt,85,27943607,75112352
rsa-7680,oaep-decrypt,86,27891606,74972572
rsa-7680,oaep-decrypt,87,28001734,75268592
rsa-7680,oaep-decrypt,88,28045331,75385782
rsa-7680,oaep-decrypt,89,28039603,75370388
rsa-7680,oaep-decrypt,90,28149213,75665016
rsa-7680,oaep-decrypt,91,27922959,75056840
rsa-7680,oaep-decrypt,92,27968498,75179254
rsa-7680,oaep-decrypt,93,28111887,75564682
rsa-7680,oaep-decrypt,94,27997748,75257882
rsa-7680,oaep-decrypt,95,28162878,75701744
rsa-7680,oaep-decrypt,96,27916675,75039952
rsa-7680,oaep-decrypt,97,28012088,75296434
rsa-7680,oaep-decrypt,98,27977629,75203800
rsa-7680,oaep-decrypt,99,28098088,75527596
