algo,metric,value
rsa-3072,oaep-decrypt-cyc-mean,991745.9
rsa-3072,oaep-decrypt-cyc-median,985873
rsa-3072,oaep-decrypt-iters,1000
rsa-3072,oaep-decrypt-persec,54.8
rsa-3072,oaep-decrypt-wall-ci95hi-ns,18402131.5
rsa-3072,oaep-decrypt-wall-ci95lo-ns,18329445
rsa-3072,oaep-decrypt-wall-mean-ns,18365788.3
rsa-3072,oaep-decrypt-wall-median-ns,18257037
rsa-3072,oaep-decrypt-wall-p95-ns,18301407
rsa-3072,oaep-decrypt-wall-p99-ns,21658297
rsa-3072,oaep-decrypt-wall-std-ns,587196.5
rsa-3072,oaep-encrypt-cyc-mean,18800.1
rsa-3072,oaep-encrypt-cyc-median,18746
rsa-3072,oaep-encrypt-iters,1000
rsa-3072,oaep-encrypt-persec,2880
rsa-3072,oaep-encrypt-wall-ci95hi-ns,348412.3
rsa-3072,oaep-encrypt-wall-ci95lo-ns,348010.1
rsa-3072,oaep-encrypt-wall-mean-ns,348231.5
rsa-3072,oaep-encrypt-wall-median-ns,347222
rsa-3072,oaep-encrypt-wall-p95-ns,356185
rsa-3072,oaep-encrypt-wall-p99-ns,357333
rsa-3072,oaep-encrypt-wall-std-ns,3090.2
rsa-3072,pss-sign-cyc-mean,991476.3
rsa-3072,pss-sign-cyc-median,985752
rsa-3072,pss-sign-iters,1000
rsa-3072,pss-sign-persec,54.8
rsa-3072,pss-sign-wall-ci95hi-ns,18396964.2
rsa-3072,pss-sign-wall-ci95lo-ns,18324658.1
rsa-3072,pss-sign-wall-mean-ns,18360811.2
rsa-3072,pss-sign-wall-median-ns,18254796
rsa-3072,pss-sign-wall-p95-ns,18287000
rsa-3072,pss-sign-wall-p99-ns,21636315
rsa-3072,pss-sign-wall-std-ns,584115.9
rsa-3072,pss-verify-cyc-mean,18113.1
rsa-3072,pss-verify-cyc-median,18065
rsa-3072,pss-verify-iters,1000
rsa-3072,pss-verify-persec,2988.5
rsa-3072,pss-verify-wall-ci95hi-ns,335708.3
rsa-3072,pss-verify-wall-ci95lo-ns,335338
rsa-3072,pss-verify-wall-mean-ns,335523.2
rsa-3072,pss-verify-wall-median-ns,334611
rsa-3072,pss-verify-wall-p95-ns,344018
rsa-3072,pss-verify-wall-p99-ns,345111
rsa-3072,pss-verify-wall-std-ns,2788.8
rsa-3072,size-key-bits,3072
rsa-3072,size-signature-bytes,384
rsa-7680,key-size,7680
rsa-7680,keygen-cyc-mean,2225990612.8
rsa-7680,keygen-cyc-median,1880951079
rsa-7680,keygen-iters,5
rsa-7680,keygen-persec,0
rsa-7680,keygen-wall-ci95hi-ns,61081312781.4
rsa-7680,keygen-wall-ci95lo-ns,21362784932.2
rsa-7680,keygen-wall-mean-ns,41222048856.8
rsa-7680,keygen-wall-median-ns,34832427572
rsa-7680,keygen-wall-p95-ns,77825315602
rsa-7680,keygen-wall-p99-ns,77825315602
rsa-7680,keygen-wall-std-ns,23292526426.3
rsa-7680,oaep-decrypt-cyc-mean,12342845.4
rsa-7680,oaep-decrypt-cyc-median,12308098
rsa-7680,oaep-decrypt-iters,100
rsa-7680,oaep-decrypt-persec,4.4
rsa-7680,oaep-decrypt-wall-ci95hi-ns,229143351.1
rsa-7680,oaep-decrypt-wall-ci95lo-ns,227999401.9
rsa-7680,oaep-decrypt-wall-mean-ns,228571376.5
rsa-7680,oaep-decrypt-wall-median-ns,227927888
rsa-7680,oaep-decrypt-wall-p95-ns,228154222
rsa-7680,oaep-decrypt-wall-p99-ns,244994722
rsa-7680,oaep-decrypt-wall-std-ns,2938596
rsa-7680,oaep-encrypt-cyc-mean,95419.9
rsa-7680,oaep-encrypt-cyc-median,95250
rsa-7680,oaep-encrypt-iters,100
rsa-7680,oaep-encrypt-persec,566.9
rsa-7680,oaep-encrypt-wall-ci95hi-ns,1768002
rsa-7680,oaep-encrypt-wall-ci95lo-ns,1766255.2
rsa-7680,oaep-encrypt-wall-mean-ns,1767128.6
rsa-7680,oaep-encrypt-wall-median-ns,1763981
