algo,metric,n,median,mean,min,max,cv_pct
ML-DSA-65,keygen-wall-std-ns,5,5772.9,8586.36,4528,21136.3,82.26
ML-DSA-65,sign-cyc-mean,5,232802.3,234002.8,229344,238250.6,1.67
ML-DSA-65,sign-cyc-median,5,190387,190346.6,189725,190804,0.20
ML-DSA-65,sign-iters,5,1000,1000,1000,1000,0.00
ML-DSA-65,sign-persec,5,283.6,283.66,283,284.6,0.20
ML-DSA-65,sign-wall-ci95hi-ns,5,4502452,4528340.84,4437605.7,4608664.2,1.64
ML-DSA-65,sign-wall-ci95lo-ns,5,4120077.5,4138668.04,4056889.4,4222366,1.71
ML-DSA-65,sign-wall-mean-ns,5,4311264.7,4333504.42,4247247.5,4412183.4,1.67
ML-DSA-65,sign-wall-median-ns,5,3525814,3525066.4,3513574,3533555,0.20
ML-DSA-65,sign-wall-p95-ns,5,10919259,10790051.8,10252407,10953204,2.79
ML-DSA-65,sign-wall-p99-ns,5,14549370,15147885.4,14267815,16962519,7.62
ML-DSA-65,sign-wall-std-ns,5,3084628.3,3143503.82,3062526.5,3287969.7,3.21
ML-DSA-65,size-key-bits,5,15616,15616,15616,15616,0.00
ML-DSA-65,size-privkey-bytes,5,4032,4032,4032,4032,0.00
ML-DSA-65,size-pubkey-bytes,5,1952,1952,1952,1952,0.00
ML-DSA-65,size-signature-bytes,5,3309,3309,3309,3309,0.00
ML-DSA-65,verify-cyc-mean,5,43059.5,43050.24,43009.2,43073.7,0.06
ML-DSA-65,verify-cyc-median,5,42938,42924.8,42880,42949,0.07
ML-DSA-65,verify-iters,5,1000,1000,1000,1000,0.00
ML-DSA-65,verify-persec,5,1257.5,1257.84,1257.1,1259.2,0.07
ML-DSA-65,verify-wall-ci95hi-ns,5,797833,797941.62,797172.5,799240.4,0.10
ML-DSA-65,verify-wall-ci95lo-ns,5,797033.8,796743.86,795991.9,797192.7,0.07
ML-DSA-65,verify-wall-mean-ns,5,797512.9,797342.76,796582.2,797777,0.06
ML-DSA-65,verify-wall-median-ns,5,795259,795014.8,794185,795463,0.07
ML-DSA-65,verify-wall-p95-ns,5,805000,804692.2,803611,805314,0.09
ML-DSA-65,verify-wall-p99-ns,5,809963,811807.4,805315,824685,0.93
ML-DSA-65,verify-wall-std-ns,5,5679.5,9662.18,4330.9,23611.4,83.30
ML-DSA-87,keygen-cyc-mean,5,60108.4,60164,60013.9,60333.1,0.26
ML-DSA-87,keygen-cyc-median,5,59964,59936.4,59877,59998,0.09
ML-DSA-87,keygen-iters,5,1000,1000,1000,1000,0.00
ML-DSA-87,keygen-persec,5,900.5,900.88,900,901.8,0.09
ML-DSA-87,keygen-wall-ci95hi-ns,5,1113852,1115617.26,1112393.1,1119390,0.30
ML-DSA-87,keygen-wall-ci95lo-ns,5,1112619.3,1112912.7,1110573,1115397.4,0.22
ML-DSA-87,keygen-wall-mean-ns,5,1113235.6,1114264.98,1111483.1,1117393.7,0.26
ML-DSA-87,keygen-wall-median-ns,5,1110537,1110033.4,1108926,1111167,0.09
ML-DSA-87,keygen-wall-p95-ns,5,1123056,1123711.2,1121537,1126389,0.19
ML-DSA-87,keygen-wall-p99-ns,5,1144778,1191962.8,1126019,1280796,6.73
ML-DSA-87,keygen-wall-std-ns,5,22140.6,21818,9944.7,32208.2,44.01
ML-DSA-87,sign-cyc-mean,5,270047.9,269641.54,258541.4,280249.7,2.85
ML-DSA-87,sign-cyc-median,5,222679,222772.4,222652,223070,0.08
ML-DSA-87,sign-iters,5,1000,1000,1000,1000,0.00
ML-DSA-87,sign-persec,5,242.5,242.4,242.1,242.5,0.07
ML-DSA-87,sign-wall-ci95hi-ns,5,5195720.5,5191926.78,4970956.4,5403917.8,2.95
ML-DSA-87,sign-wall-ci95lo-ns,5,4795434.2,4795015.74,4604868.1,4975921.3,2.74
ML-DSA-87,sign-wall-mean-ns,5,5000997.9,4993471.28,4787912.3,5189919.6,2.85
ML-DSA-87,sign-wall-median-ns,5,4123814,4125518.4,4123296,4131000,0.08
ML-DSA-87,sign-wall-p95-ns,5,11845704,11465489,10884500,11852537,4.57
ML-DSA-87,sign-wall-p99-ns,5,15721574,16102526,14781129,17626982,6.72
ML-DSA-87,sign-wall-std-ns,5,3141890,3201895.28,2953247,3452662.4,5.96
ML-DSA-87,size-key-bits,5,20736,20736,20736,20736,0.00
ML-DSA-87,size-privkey-bytes,5,4896,4896,4896,4896,0.00
ML-DSA-87,size-pubkey-bytes,5,2592,2592,2592,2592,0.00
ML-DSA-87,size-signature-bytes,5,4627,4627,4627,4627,0.00
ML-DSA-87,verify-cyc-mean,5,66232.1,66310.58,66194.3,66520.6,0.21
ML-DSA-87,verify-cyc-median,5,66091,66113.4,66054,66238,0.11
ML-DSA-87,verify-iters,5,1000,1000,1000,1000,0.00
ML-DSA-87,verify-persec,5,817,816.72,815.2,817.4,0.11
