algo,metric,value
ecdh-P-256,keygen-wall-ci95lo-ns,14360
ecdh-P-256,keygen-wall-mean-ns,14746.4
ecdh-P-256,keygen-wall-median-ns,12138
ecdh-P-256,keygen-wall-p95-ns,25190
ecdh-P-256,keygen-wall-p99-ns,26164
ecdh-P-256,keygen-wall-std-ns,6116.6
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,derive-cyc-mean,1230065.6
ecdh-P-384,derive-cyc-median,1228988
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-persec,2187.1
ecdh-P-384,derive-wall-ci95hi-ns,457798.8
ecdh-P-384,derive-wall-ci95lo-ns,457481.1
ecdh-P-384,derive-wall-mean-ns,457639.9
ecdh-P-384,derive-wall-median-ns,457232
ecdh-P-384,derive-wall-p95-ns,462048
ecdh-P-384,derive-wall-p99-ns,464838
ecdh-P-384,derive-wall-std-ns,2563.2
ecdh-P-384,keygen-cyc-mean,1261182.7
ecdh-P-384,keygen-cyc-median,1259682
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-persec,2133.8
ecdh-P-384,keygen-wall-ci95hi-ns,469458.3
ecdh-P-384,keygen-wall-ci95lo-ns,468966.8
ecdh-P-384,keygen-wall-mean-ns,469212.6
ecdh-P-384,keygen-wall-median-ns,468653
ecdh-P-384,keygen-wall-p95-ns,474263
ecdh-P-384,keygen-wall-p99-ns,480527
ecdh-P-384,keygen-wall-std-ns,3896.3
ecdh-P-384,size-key-bits,384
ecdh-P-384,size-pubkey-bytes,97
ecdh-P-521,derive-cyc-mean,2941206.9
ecdh-P-521,derive-cyc-median,2938518
ecdh-P-521,derive-iters,1000
ecdh-P-521,derive-persec,914.7
ecdh-P-521,derive-wall-ci95hi-ns,1094650.4
ecdh-P-521,derive-wall-ci95lo-ns,1093706.2
ecdh-P-521,derive-wall-mean-ns,1094222.3
ecdh-P-521,derive-wall-median-ns,1093223
ecdh-P-521,derive-wall-p95-ns,1099545
ecdh-P-521,derive-wall-p99-ns,1112463
ecdh-P-521,derive-wall-std-ns,4464
ecdh-P-521,keygen-cyc-mean,2976034.2
ecdh-P-521,keygen-cyc-median,2972500
ecdh-P-521,keygen-iters,1000
ecdh-P-521,keygen-persec,904.3
ecdh-P-521,keygen-wall-ci95hi-ns,1107429.5
ecdh-P-521,keygen-wall-ci95lo-ns,1106925.8
ecdh-P-521,keygen-wall-mean-ns,1107177.6
ecdh-P-521,keygen-wall-median-ns,1105860
ecdh-P-521,keygen-wall-p95-ns,1114080
ecdh-P-521,keygen-wall-p99-ns,1123728
ecdh-P-521,keygen-wall-std-ns,5894.5
ecdh-P-521,size-key-bits,521
ecdh-P-521,size-pubkey-bytes,133
ecdsa-P-256,keygen-cyc-mean,39521
ecdsa-P-256,keygen-cyc-median,32058
ecdsa-P-256,keygen-iters,1000
ecdsa-P-256,keygen-persec,83661
ecdsa-P-256,keygen-wall-ci95hi-ns,15183.4
ecdsa-P-256,keygen-wall-ci95lo-ns,14305.7
ecdsa-P-256,keygen-wall-mean-ns,14744.5
ecdsa-P-256,keygen-wall-median-ns,11953
ecdsa-P-256,keygen-wall-p95-ns,25132
ecdsa-P-256,keygen-wall-p99-ns,26414
ecdsa-P-256,keygen-wall-std-ns,7079.9
ecdsa-P-256,sign-cyc-mean,45261.1
ecdsa-P-256,sign-cyc-median,44962
ecdsa-P-256,sign-iters,1000
ecdsa-P-256,sign-persec,59690.8
ecdsa-P-256,sign-wall-ci95hi-ns,16895.4
ecdsa-P-256,sign-wall-ci95lo-ns,16832.3
ecdsa-P-256,sign-wall-mean-ns,16863.8
ecdsa-P-256,sign-wall-median-ns,16753
ecdsa-P-256,sign-wall-p95-ns,17096
ecdsa-P-256,sign-wall-p99-ns,18340
ecdsa-P-256,sign-wall-std-ns,365.9
ecdsa-P-256,size-key-bits,256
ecdsa-P-256,size-pubkey-bytes,65
ecdsa-P-256,size-signature-max-bytes,72
ecdsa-P-256,verify-cyc-mean,141602
ecdsa-P-256,verify-cyc-median,141240
